,Region,Country,City,Month,AvgTemperature_C
433,Asia,India,Bombay (Mumbai),2,25.88597659045935
434,Asia,India,Bombay (Mumbai),3,27.88527984560243
435,Asia,India,Bombay (Mumbai),4,29.179994301994306
436,Asia,India,Bombay (Mumbai),5,30.136551328002938
437,Asia,India,Bombay (Mumbai),6,29.232919753086417
438,Asia,India,Bombay (Mumbai),7,27.967240143369175
439,Asia,India,Bombay (Mumbai),8,27.844166666666666
440,Asia,India,Bombay (Mumbai),9,27.98233641975309
441,Asia,India,Bombay (Mumbai),10,29.072043010752687
442,Asia,India,Bombay (Mumbai),11,28.232694444444448
443,Asia,India,Bombay (Mumbai),12,26.108309438470734
444,Asia,India,Calcutta,1,18.5480093741384
445,Asia,India,Calcutta,2,22.746406888131023
446,Asia,India,Calcutta,3,27.245429418252
447,Asia,India,Calcutta,4,29.870772079772085
448,Asia,India,Calcutta,5,30.57895597831081
449,Asia,India,Calcutta,6,30.100777777777772
450,Asia,India,Calcutta,7,29.163297491039422
451,Asia,India,Calcutta,8,29.050379330943848
452,Asia,India,Calcutta,9,28.9266975308642
453,Asia,India,Calcutta,10,27.703357228195934
454,Asia,India,Calcutta,11,24.222487654320982
455,Asia,India,Calcutta,12,19.756811724066278
456,Asia,India,Chennai (Madras),1,25.15717948717949
457,Asia,India,Chennai (Madras),2,26.361303524062137
458,Asia,India,Chennai (Madras),3,28.364507857733663
459,Asia,India,Chennai (Madras),4,30.395680911680913
460,Asia,India,Chennai (Madras),5,31.872120669056155
461,Asia,India,Chennai (Madras),6,31.4865061728395
462,Asia,India,Chennai (Madras),7,30.479211469534054
463,Asia,India,Chennai (Madras),8,29.728291517323775
464,Asia,India,Chennai (Madras),9,29.277373456790126
465,Asia,India,Chennai (Madras),10,27.959582359357956
466,Asia,India,Chennai (Madras),11,26.417518518518516
467,Asia,India,Chennai (Madras),12,25.316502259622876
468,Asia,India,Delhi,1,13.267529638819962
469,Asia,India,Delhi,2,17.3761264788851
470,Asia,India,Delhi,3,23.05084918665564
471,Asia,India,Delhi,4,29.373313390313392
472,Asia,India,Delhi,5,32.956441733296565
473,Asia,India,Delhi,6,33.19830555555555
474,Asia,India,Delhi,7,31.206093189964157
475,Asia,India,Delhi,8,30.180062724014334
476,Asia,India,Delhi,9,29.28299369296833
477,Asia,India,Delhi,10,25.744435483870966
478,Asia,India,Delhi,11,19.786098765432097
479,Asia,India,Delhi,12,14.616825489584958
480,Asia,Indonesia,Jakarta,1,27.576084208214112
481,Asia,Indonesia,Jakarta,2,27.443013429179626
482,Asia,Indonesia,Jakarta,3,28.243214244762235
483,Asia,Indonesia,Jakarta,4,28.8423987197809
484,Asia,Indonesia,Jakarta,5,29.162800513312977
485,Asia,Indonesia,Jakarta,6,28.88496155512237
486,Asia,Indonesia,Jakarta,7,28.58589317393081
487,Asia,Indonesia,Jakarta,8,28.740711789180235
488,Asia,Indonesia,Jakarta,9,28.99169124699912
489,Asia,Indonesia,Jakarta,10,29.09601021317789
490,Asia,Indonesia,Jakarta,11,28.646794055991464
491,Asia,Indonesia,Jakarta,12,28.08147873813425
492,Asia,Japan,Osaka,1,5.488797904604356
493,Asia,Japan,Osaka,2,6.270346090690917
494,Asia,Japan,Osaka,3,9.724091535704439
495,Asia,Japan,Osaka,4,15.233091168091168
496,Asia,Japan,Osaka,5,20.427094476610602
497,Asia,Japan,Osaka,6,24.03539814814815
498,Asia,Japan,Osaka,7,28.012616487455198
499,Asia,Japan,Osaka,8,29.361242532855435
500,Asia,Japan,Osaka,9,25.299259259259255
501,Asia,Japan,Osaka,10,19.357634408602152
502,Asia,Japan,Osaka,11,13.234873456790123
503,Asia,Japan,Osaka,12,7.811426808996937
504,Asia,Japan,Sapporo,1,-6.30765922249793
505,Asia,Japan,Sapporo,2,-5.362363689949897
506,Asia,Japan,Sapporo,3,-0.4452715743038323
507,Asia,Japan,Sapporo,4,5.606843304843304
508,Asia,Japan,Sapporo,5,11.007849692123884
509,Asia,Japan,Sapporo,6,14.899836419753084
510,Asia,Japan,Sapporo,7,18.99598566308244
511,Asia,Japan,Sapporo,8,20.57764934289128
512,Asia,Japan,Sapporo,9,17.09191666666667
513,Asia,Japan,Sapporo,10,10.408602150537636
514,Asia,Japan,Sapporo,11,3.5620277777777782
515,Asia,Japan,Sapporo,12,-3.320903589423926
